epoch,negative_sampling_loss,dirichlet_prior_loss
70,27.168,-98953.828
71,27.159,-100337.968
72,27.138,-101720.858
73,27.121,-103101.846
74,27.105,-104488.255
75,27.095,-105869.869
76,27.083,-107254.962
77,27.079,-108637.898
78,27.074,-110022.525
79,27.072,-111407.905
80,27.071,-112792.669
81,27.066,-114180.771
82,27.069,-115565.193
83,27.064,-116950.786
84,27.066,-118340.945
85,27.062,-119729.906
86,27.060,-121120.308
87,27.060,-122507.109
88,27.057,-123896.186
89,27.053,-125283.810
90,27.056,-126672.834
91,27.054,-128064.134
92,27.056,-129453.672
93,27.056,-130841.946
94,27.054,-132232.647
95,27.049,-133626.167
96,27.052,-135014.079
97,27.051,-136403.593
98,27.048,-137796.701
99,27.051,-139194.409
100,27.049,-140584.767
